#separator:Comma
#html:true
#columns:Front,Back
"In an S3 ARN, what is the difference between `arn:aws:s3:::catgifs` and `arn:aws:s3:::catgifs/*`?","- `arn:aws:s3:::catgifs`: refers to the bucket itself<br>- `arn:aws:s3:::catgifs/*`: refers to the objects inside the bucket, not the bucket itself"
"What are the key limits and characteristics of IAM Groups?","- Containers for organizing IAM users; groups can't log in and have no credentials<br>- No limit on users per group (aside from the 5,000-user account limit); no group nesting<br>- Limit of 300 groups per account (can be increased via support ticket)<br>- Groups are not a true identity -- they can't be referenced as a principal in a policy"
"What are IAM Roles, and how do they differ from a long-term identity like an IAM user?","- A role represents a level of access within the account, not a specific long-term principal identity<br>- Roles are assumed for a period of time after authentication, then the access stops<br>- Used when multiple or an unknown number of principals need access (e.g. multiple users, or AWS services)"
"What are the two types of policies attached to an IAM role, and what does each control?","- Trust Policy: defines which identities (same-account, other AWS accounts, services, or external IdPs) are allowed to assume the role<br>- Permissions Policy: defines what the role is allowed to do once assumed"
"What happens (mechanically) when an IAM role is assumed?","- The caller uses the `sts:AssumeRole` operation<br>- AWS STS (Security Token Service) generates temporary security credentials<br>- Those temporary credentials are used to access AWS resources for a limited time"
"What are common situations where you'd use IAM roles instead of IAM users?","- AWS services acting on your behalf (e.g. a Lambda execution role)<br>- ""Break glass"" emergency access outside normal access patterns<br>- Existing identities from Active Directory/SSO, or account setups with more than 5,000 identities<br>- Cross-account access"
"What is a service-linked role in IAM?","- An IAM role linked to a specific AWS service, with a predefined set of permissions for that service to interact with other AWS services on your behalf<br>- Can be created by the service itself, during the service's setup process, or manually within IAM<br>- Cannot be deleted until it is no longer used by that service"
"What is IAM PassRole, and why does it matter for security?","- Lets an identity pass an IAM role to a service (e.g. attaching a role to Lambda) without needing all the permissions in that role itself<br>- Implements role separation -- important because the passed role may grant more permissions than the identity passing it has"
"In an AWS Organization, what is the difference between the Management Account and a Member Account?","- Management Account (formerly master account): the account used to create the organization; can invite other accounts, and is also the ""payer account"" for consolidated billing<br>- Member Account: a standard account that has approved an invite to join (or was created directly within) the organization"
"What is the difference between the AWS Organization Root and an AWS account's root user?","- Organization Root: the top-level container in an organization's hierarchy, which can hold accounts and Organizational Units (OUs)<br>- Account root user: the initial, all-powerful user of an individual AWS account<br>- These are unrelated concepts despite the similar name"
"What is Consolidated Billing in AWS Organizations?","- Member accounts pass their billing through to the management account (the ""payer account"")<br>- Enables consolidation of reservations and volume discounts across accounts to save money"
"What is the `OrganizationAccountAccessRole`, and how is it used?","- A role automatically created in a member account when it's created directly within an organization<br>- Its trust policy allows the management account to `sts:AssumeRole` into it<br>- Lets you switch roles from the management account into the member account without separate credentials"
"What are Service Control Policies (SCPs), and what can't they do?","- Account permission boundaries applied to the organization root, OUs, or individual accounts, limiting what an account (including its root user) can do<br>- They do NOT grant any permissions themselves -- they only define boundaries/limits on what identity policies can grant<br>- Management accounts cannot be affected by SCPs"
"What is the difference between an SCP deny list and an SCP allow list?","- Deny list: default is ALLOW; the SCP adds a list of specific ""denies"" (the default AWS Organizations behavior, with lower admin overhead)<br>- Allow list: default is DENY; the SCP adds a list of specific ""allows"""
"For an action to actually be allowed in an AWS account governed by SCPs, what two things must both be true?","- The action must be allowed by the applicable SCP(s)<br>- The action must also be granted by the identity policy<br>- Only the overlap of both is actually allowed"
